"SECONDS";"PID";"VALUE";"UNITS"
"39.3503102";"Average fuel consumption";"0";"l/100km"
"39.3512389";"Instant engine power (based on fuel consumption)";"0";"hp"
"39.3516714";"Calculated instant fuel consumption km/l.";"0";"km/l."
"39.352301";"Distance travelled (total)";"300.900073201695";"km"
"39.3527922";"Fuel used (total)";"300.900073201695";"l"
"39.3542225";"Fuel used price";"300.900073201695";"€"
"39.4674533";"Average fuel consumption (total)";"100";"l/100km"
"39.4674533";"Average fuel consumption (total)";"100";"l/100km"
"39.4783054";"Fuel used price (total)";"310.807353551575";"€"
"39.4783054";"Fuel used price (total)";"310.807353551575";"€"
"39.5509812";"Distance to empty";"0";"km"
"39.5509812";"Distance to empty";"0";"km"
